IntersectionName,Turn,OpenDriveFromID,OpenDriveToID
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,NBR,309,293
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,NBT,309,296
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,NBL,309,295
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,NBU,309,294
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,EBR,312,294
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,EBT,312,293
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,EBL,312,296
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,EBU,312,295
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,SBR,324,295
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,SBT,324,294
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,SBL,324,293
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,SBU,324,296
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,WBR,298,296
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,WBT,298,295
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,WBL,298,294
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,WBU,298,293
Shallowford Rd. & I-75 SB Off Ramp,NBR,,
Shallowford Rd. & I-75 SB Off Ramp,NBT,,
Shallowford Rd. & I-75 SB Off Ramp,NBL,,
Shallowford Rd. & I-75 SB Off Ramp,NBU,,
Shallowford Rd. & I-75 SB Off Ramp,EBR,297,289
Shallowford Rd. & I-75 SB Off Ramp,EBT,297,288
Shallowford Rd. & I-75 SB Off Ramp,EBL,,
Shallowford Rd. & I-75 SB Off Ramp,EBU,297,290
Shallowford Rd. & I-75 SB Off Ramp,SBR,292,290
Shallowford Rd. & I-75 SB Off Ramp,SBT,292,289
Shallowford Rd. & I-75 SB Off Ramp,SBL,292,288
Shallowford Rd. & I-75 SB Off Ramp,SBU,,
Shallowford Rd. & I-75 SB Off Ramp,WBR,,
Shallowford Rd. & I-75 SB Off Ramp,WBT,285,290
Shallowford Rd. & I-75 SB Off Ramp,WBL,285,289
Shallowford Rd. & I-75 SB Off Ramp,WBU,285,288
I-75 NB Off Ramp & Shallowford Rd.,NBR,310,286
I-75 NB Off Ramp & Shallowford Rd.,NBT,310,287
I-75 NB Off Ramp & Shallowford Rd.,NBL,310,285
I-75 NB Off Ramp & Shallowford Rd.,NBU,,
I-75 NB Off Ramp & Shallowford Rd.,EBR,,
I-75 NB Off Ramp & Shallowford Rd.,EBT,288,286
I-75 NB Off Ramp & Shallowford Rd.,EBL,288,287
I-75 NB Off Ramp & Shallowford Rd.,EBU,288,285
I-75 NB Off Ramp & Shallowford Rd.,SBR,,
I-75 NB Off Ramp & Shallowford Rd.,SBT,,
I-75 NB Off Ramp & Shallowford Rd.,SBL,,
I-75 NB Off Ramp & Shallowford Rd.,SBU,,
I-75 NB Off Ramp & Shallowford Rd.,WBR,300,287
I-75 NB Off Ramp & Shallowford Rd.,WBT,300,285
I-75 NB Off Ramp & Shallowford Rd.,WBL,,
I-75 NB Off Ramp & Shallowford Rd.,WBU,300,286
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,NBR,319,302
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,NBT,319,303
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,NBL,319,300
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,NBU,319,301
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,EBR,286,301
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,EBT,286,302
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,EBL,286,303
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,EBU,286,300
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,SBR,325,300
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,SBT,325,301
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,SBL,325,302
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,SBU,325,303
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,WBR,321,303
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,WBT,321,300
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,WBL,321,301
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,WBU,321,302
Lifestyle Way & Shallowford Rd.,NBR,317,284
Lifestyle Way & Shallowford Rd.,NBT,317,283
Lifestyle Way & Shallowford Rd.,NBL,317,281
Lifestyle Way & Shallowford Rd.,NBU,317,282
Lifestyle Way & Shallowford Rd.,EBR,313,282
Lifestyle Way & Shallowford Rd.,EBT,313,284
Lifestyle Way & Shallowford Rd.,EBL,313,283
Lifestyle Way & Shallowford Rd.,EBU,313,281
Lifestyle Way & Shallowford Rd.,SBR,318,281
Lifestyle Way & Shallowford Rd.,SBT,318,282
Lifestyle Way & Shallowford Rd.,SBL,318,284
Lifestyle Way & Shallowford Rd.,SBU,318,283
Lifestyle Way & Shallowford Rd.,WBR,327,283
Lifestyle Way & Shallowford Rd.,WBT,327,281
Lifestyle Way & Shallowford Rd.,WBL,327,282
Lifestyle Way & Shallowford Rd.,WBU,327,284
Gunbarrel Road & Shallowford Rd.,NBR,308,304
Gunbarrel Road & Shallowford Rd.,NBT,308,306
Gunbarrel Road & Shallowford Rd.,NBL,308,307
Gunbarrel Road & Shallowford Rd.,NBU,308,305
Gunbarrel Road & Shallowford Rd.,EBR,328,305
Gunbarrel Road & Shallowford Rd.,EBT,328,304
Gunbarrel Road & Shallowford Rd.,EBL,328,306
Gunbarrel Road & Shallowford Rd.,EBU,328,307
Gunbarrel Road & Shallowford Rd.,SBR,326,307
Gunbarrel Road & Shallowford Rd.,SBT,326,305
Gunbarrel Road & Shallowford Rd.,SBL,326,304
Gunbarrel Road & Shallowford Rd.,SBU,326,306
Gunbarrel Road & Shallowford Rd.,WBR,280,306
Gunbarrel Road & Shallowford Rd.,WBT,280,307
Gunbarrel Road & Shallowford Rd.,WBL,280,306
Gunbarrel Road & Shallowford Rd.,WBU,280,304
